tradeday,account,nav
2018-11-14,XLIN01,30980.998
2018-11-15,XLIN01,31451.908
2018-11-16,XLIN01,31179.868
2018-11-19,XLIN01,30181.078
2018-11-20,XLIN01,29248.698
2018-11-21,XLIN01,29250.338
2018-11-22,XLIN01,29250.338
2018-11-23,XLIN01,29520.338
2018-11-26,XLIN01,30004.438
2018-11-27,XLIN01,29735.148
2018-11-28,XLIN01,31180.098
2018-11-29,XLIN01,31628.098
2018-11-30,XLIN01,31480.078
2018-12-03,XLIN01,31588.652
2018-12-04,XLIN01,30674.072
2018-12-05,XLIN01,30674.072
2018-12-06,XLIN01,30599.88
2018-12-07,XLIN01,29735.6
2018-12-10,XLIN01,29644.28
2018-12-11,XLIN01,30113.49
2018-12-12,XLIN01,29847.44
2018-12-13,XLIN01,30021.15
2018-12-14,XLIN01,29848.69
2018-12-17,XLIN01,28874.36
2018-12-18,XLIN01,27630.646
2018-12-19,XLIN01,26239.396
2018-12-20,XLIN01,25718.406
2018-12-21,XLIN01,24310.576
2018-12-24,XLIN01,24196.446
2018-12-25,XLIN01,24196.446
2018-12-26,XLIN01,26099.436
2018-12-27,XLIN01,27743.226
2018-12-28,XLIN01,29874.176
2018-12-31,XLIN01,28911.446
2019-01-01,XLIN01,28911.446
2019-01-02,XLIN01,29585.126
2019-01-03,XLIN01,28499.626
2019-01-04,XLIN01,28830.086
2019-01-07,XLIN01,28866.896
2019-01-08,XLIN01,29199.746
2019-01-09,XLIN01,30153.056
2019-01-10,XLIN01,30473.906
2019-01-11,XLIN01,30638.806
2019-01-14,XLIN01,30131.596
2019-01-15,XLIN01,35349.586
2019-01-16,XLIN01,34458.476
2019-01-17,XLIN01,32927.056
2019-01-18,XLIN01,54330.726
2019-01-21,XLIN01,54330.726
2019-01-22,XLIN01,53973.956
2019-01-23,XLIN01,53652.486
2019-01-24,XLIN01,53912.266
2019-01-25,XLIN01,54837.316
2019-01-28,XLIN01,54799.076
2019-01-29,XLIN01,55044.366
2019-01-30,XLIN01,54797.226
2019-01-31,XLIN01,55287.346
2019-02-01,XLIN01,55027.41
2019-02-04,XLIN01,55520.47
2019-02-05,XLIN01,56021.47
2019-02-06,XLIN01,55915.94
2019-02-07,XLIN01,55151.27
2019-02-08,XLIN01,55888.54
2019-02-11,XLIN01,57167.34
2019-02-12,XLIN01,57899.41
2019-02-13,XLIN01,57615.81
2019-02-14,XLIN01,56867.54
2019-02-15,XLIN01,56590.84
2019-02-18,XLIN01,56590.84
2019-02-19,XLIN01,57302.92
2019-02-20,XLIN01,56893.48
2019-02-21,XLIN01,56462.89
2019-02-22,XLIN01,56628.02
2019-02-25,XLIN01,55883.69
2019-02-26,XLIN01,54928.29
2019-02-27,XLIN01,52535.12
2019-02-28,XLIN01,52817.758
2019-03-01,XLIN01,53100.232
2019-03-04,XLIN01,51345.492
2019-03-05,XLIN01,52228.582
2019-03-06,XLIN01,51862.642
2019-03-07,XLIN01,51310.002
2019-03-08,XLIN01,50692.902
2019-03-11,XLIN01,51820.942
2019-03-12,XLIN01,51823.152
2019-03-13,XLIN01,52257.732
2019-03-14,XLIN01,51858.222
2019-03-15,XLIN01,52446.232
2019-03-18,XLIN01,52266.062
2019-03-19,XLIN01,52636.322
2019-03-20,XLIN01,52545.442
2019-03-21,XLIN01,52702.212
2019-03-22,XLIN01,51504.152
2019-03-25,XLIN01,50900.092
2019-03-26,XLIN01,51658.842
2019-03-27,XLIN01,51096.192
2019-03-28,XLIN01,51540.582
2019-03-29,XLIN01,51814.272
2019-04-01,XLIN01,52179.726
2019-04-02,XLIN01,52095.506
2019-04-03,XLIN01,52937.266
2019-04-04,XLIN01,52753.856
2019-04-05,XLIN01,53396.336
2019-04-08,XLIN01,53990.136
2019-04-09,XLIN01,54021.556
2019-04-10,XLIN01,53721.646
2019-04-11,XLIN01,53511.716
2019-04-12,XLIN01,53720.566
2019-04-15,XLIN01,53096.796
2019-04-16,XLIN01,52644.586
2019-04-17,XLIN01,52643.406
2019-04-18,XLIN01,52624.736
2019-04-19,XLIN01,52624.736
2019-04-22,XLIN01,52839.596
2019-04-23,XLIN01,52960.216
2019-04-24,XLIN01,53052.856
2019-04-25,XLIN01,53494.616
2019-04-26,XLIN01,54062.186
2019-04-29,XLIN01,54189.976
2019-04-30,XLIN01,53734.336
2019-05-01,XLIN01,53771.342
2019-05-02,XLIN01,52895.482
2019-05-03,XLIN01,53055.612
2019-05-06,XLIN01,52933.732
2019-05-07,XLIN01,51933.362
2019-05-08,XLIN01,51780.222
2019-05-09,XLIN01,51326.462
2019-05-10,XLIN01,50834.992
2019-05-13,XLIN01,49829.962
2019-05-14,XLIN01,50091.292
2019-05-15,XLIN01,49918.692
2019-05-16,XLIN01,50128.302
2019-05-17,XLIN01,49730.732
2019-05-20,XLIN01,48966.052
2019-05-21,XLIN01,49919.512
2019-05-22,XLIN01,49573.832
2019-05-23,XLIN01,49337.012
2019-05-24,XLIN01,49432.732
2019-05-27,XLIN01,49432.732
2019-05-28,XLIN01,49240.792
2019-05-29,XLIN01,48736.872
2019-05-30,XLIN01,48857.682
2019-05-31,XLIN01,48246.532
2019-06-03,XLIN01,47465.64
